
B3	paw	1	singing	08-Feb-2018 10:20:39	
B3	bow	2	singing	08-Feb-2018 10:20:50	
B3	bean	2	singing	08-Feb-2018 10:21:03	
B3	bone	2	singing	08-Feb-2018 10:21:15	
B3	pawn	2	singing	08-Feb-2018 10:21:26	
B3	pine	2	singing	08-Feb-2018 10:21:37	
B3	paw	2	singing	08-Feb-2018 10:21:47	
B3	pie	2	singing	08-Feb-2018 10:21:59	
B3	bee	2	singing	08-Feb-2018 10:22:13	
B3	pine	3	singing	08-Feb-2018 10:22:26	
B3	pawn	3	singing	08-Feb-2018 10:22:43	
B3	bow	3	singing	08-Feb-2018 10:22:54	
B3	pie	3	singing	08-Feb-2018 10:23:09	
B3	bean	3	singing	08-Feb-2018 10:23:20	
B3	bone	3	singing	08-Feb-2018 10:23:31	
B3	bee	3	singing	08-Feb-2018 10:23:42	
B3	paw	3	singing	08-Feb-2018 10:23:53	
B4	bean	1	singing	08-Feb-2018 10:27:53	
B4	pie	1	singing	08-Feb-2018 10:28:06	
B4	bow	1	singing	08-Feb-2018 10:28:22	
B4	pawn	1	singing	08-Feb-2018 10:28:34	
B4	bone	1	singing	08-Feb-2018 10:28:50	
B4	paw	1	singing	08-Feb-2018 10:29:02	
B4	bee	1	singing	08-Feb-2018 10:29:14	
B4	pine	1	singing	08-Feb-2018 10:29:26	
B4	bee	2	singing	08-Feb-2018 10:29:37	
B4	bone	2	singing	08-Feb-2018 10:29:49	
B4	bean	2	singing	08-Feb-2018 10:30:00	
B4	pie	2	singing	08-Feb-2018 10:30:12	
B4	pawn	2	singing	08-Feb-2018 10:30:24	
B4	pine	2	singing	08-Feb-2018 10:30:36	
B4	paw	2	singing	08-Feb-2018 10:30:48	
B4	bow	2	singing	08-Feb-2018 10:30:59	
B4	pawn	3	singing	08-Feb-2018 10:31:14	
B4	bean	3	singing	08-Feb-2018 10:31:29	
B4	pine	3	singing	08-Feb-2018 10:31:43	
B4	bone	3	singing	08-Feb-2018 10:31:59	
B4	bee	3	singing	08-Feb-2018 10:32:12	
B4	pie	3	singing	08-Feb-2018 10:32:25	
B4	bow	3	singing	08-Feb-2018 10:32:38	
B4	paw	3	singing	08-Feb-2018 10:32:51	
